region;Depression_rate2022;GINI;GPI;Avg_temp;Education_idx;GDP_pc;Urbanisation;Internet_usage
Afghanistan;3.3;29.4;3.554;12.6;0.414;2390;26;13.5
Albania;4.8;33.2;1.761;11.4;0.746;14218;62.1;62.4
Algeria;4.5;27.6;2.146;22.5;0.672;11112;73.7;47.69105515
Angola;3.6;51.3;1.982;21.55;0.5;6932;66.8;26
Argentina;4.7;41.4;1.911;14.8;0.855;20751;92.1;74.29490687
Armenia;5;34.4;1.992;7.15;0.74;13261;63.3;64.74488433
Australia;5.9;34.4;1.565;21.65;0.924;51680;86.2;86.54504885
Austria;5.1;29.7;1.3;6.35;0.865;55218;58.7;87.93558659
Azerbaijan;4.6;33.7;2.437;11.95;0.711;14431;56.4;79
Bangladesh;4.1;32.4;2.067;25;0.529;5307;38.2;19.8
Belarus;5.6;25.2;2.259;6.15;0.838;20187;79.5;74.43644541
Belgium;4.8;27.4;1.526;9.55;0.902;51096;98.1;87.67968082
Benin;3.9;47.8;2.125;27.55;0.478;3437;48.4;18.7
Bhutan;4.2;37.4;1.481;7.4;0.496;12060;42.3;46.2
Bolivia;4.4;42.2;1.989;21.55;0.695;8344;70.1;43.83227607
Bosnia and Herzegovina;5.1;33;1.85;9.85;0.711;15047;49;64.89202051
Botswana;4.7;53.3;1.801;21.5;0.676;16893;70.9;41.41379464
Brazil;5.8;53.9;2.465;24.95;0.694;14916;87.1;67.47128452
Bulgaria;5.2;40.4;1.541;10.55;0.779;23817;75.7;63.41010138
Burkina Faso;3.6;35.3;2.786;28.25;0.312;2262;30.6;16.8
Burundi;4.2;38.6;2.47;19.8;0.417;760;13.7;2.660748535
Cambodia;3.4;37.9;1.882;26.8;0.484;4695;24.2;32.90027854
Cameroon;3.9;46.5;2.709;24.6;0.547;3646;57.6;23.20297197
Canada;4.7;33.3;1.389;-5.35;0.894;48720;81.6;92.70137191
Central African Republic;4.2;43.6;3.021;24.9;0.353;979;42.2;4
Chad;3.5;43.3;2.591;26.55;0.288;1611;23.5;7.4
Chile;5;44.4;1.84;8.45;0.81;23366;87.7;82.32748693
China;4.2;38.5;2.01;6.95;0.66;17192;61.4;54.3
Colombia;4.7;50.4;2.729;24.5;0.682;14324;81.4;62.25988032
Costa Rica;4.7;48;1.732;24.8;0.726;19990;80.8;71.58166462
