region;Depression_rate2022;GINI;GPI;Avg_temp;Education_idx;GDP_pc;Avg_hrs_worked_yearly;Urbanisation;Internet_usage
Australia;5.9;0.318;1.565;21.65;15.46888;51680;1694.129053;86.2;86.54504885
Austria;5.1;0.274;1.3;6.35;14.060361;55218;1442.453757;58.7;87.93558659
Belgium;4.8;0.262;1.526;9.55;18.473303;51096;1493.126386;98.1;87.67968082
Canada;4.7;0.304;1.389;-5.35;6.9325643;48720;1684.9984;81.6;92.70137191
Chile;5;0.46;1.84;8.45;28.026119;23366;1915.6;87.7;82.32748693
Costa Rica;4.7;0.487;1.732;24.8;57.373444;19990;2073.3;80.8;71.58166462
Russia;5.5;0.317;3.275;-5.1;4.8022981;27903;1874;74.8;76.00813853
Czech Republic;5.2;0.248;1.318;7.55;5.5797949;40618;1752.820633;74.1;78.71917285
Denmark;5;0.268;1.296;7.5;17.887573;58932;1363.430754;88.1;97.09936216
Estonia;5.9;0.305;1.662;5.1;10.475689;38834;1767.055731;69.2;88.10245687
Finland;5.6;0.265;1.439;1.7;11.083303;49853;1518.267369;85.5;87.46892907
France;4.8;0.292;1.895;10.7;17.760235;46062;1490.331744;81;80.50245972
Germany;5.2;0.296;1.462;8.5;14.672102;54076;1349.3;77.5;84.3941537
Greece;5.7;0.308;1.838;15.4;21.812767;28748;1872.237051;79.7;69.89297065
Hungary;5.1;0.286;1.411;9.75;13.719394;33030;1697.1;71.9;76.75054712
Iceland;4.1;0.25;1.107;1.75;21.429537;55596;1433.409553;93.9;98.25520119
Ireland;4.8;0.292;1.288;9.3;12.765348;94392;1775;63.7;84.11400706
Israel;4.6;0.342;2.576;19.2;12.055555;40547;1752.8;92.6;81.58118359
Italy;5.1;0.33;1.643;13.45;37.293571;40861;1668.5;71;63.077347
Japan;4.2;0.334;1.336;11.15;55.555557;42248;1607;91.8;91.72654724
Latvia;4.9;0.355;1.673;5.6;10.605479;31509;1601.202851;68.3;80.114077
Lithuania;5.6;0.357;1.724;6.2;6.7329736;38824;1619.977863;68;77.61525651
Mexico;4.2;0.42;2.612;21;57.190308;19130;2127.807987;80.7;63.85224909
Netherlands;4.7;0.304;1.522;9.25;19.437679;57534;1416.542666;92.2;93.19727891
New Zealand;5.4;0.32;1.269;10.55;19.431931;42018;1730;86.7;87.7
Norway;4.7;0.263;1.465;1.5;17.57239;65800;1427.1;83;96.3576013
Poland;5.1;0.281;1.552;7.85;6.7923322;34103;1830.236807;60;75.98536595
Portugal;5.7;0.31;1.301;15.15;40.549065;34043;1648.942749;66.3;73.79121395
Slovakia;5.1;0.222;1.499;6.8;6.8340263;32709;1583.159408;53.8;81.62566752
Slovenia;5.1;0.246;1.316;8.9;8.69;40067;1596.395392;55.1;78.88542636
South Korea;4.1;0.331;1.779;11.5;9.6675959;44621;1915;81.4;95.06942188
Spain;5.2;0.32;1.603;13.3;36.083153;39121;1640.9407;80.8;84.6022457
Sweden;4.9;0.276;1.564;2.1;15.142161;54146;1444.285085;88;93.00626697
Switzerland;5;0.316;1.357;5.5;12.57438;72874;1533.304158;73.9;89.68614767
Turkey;4.4;0.415;2.785;11.1;55.102688;30253;1572.391596;76.1;64.68461768
UK;4.5;0.355;1.667;8.45;18.294903;44117;1497.375463;83.9;90.42455049
USA;5.9;0.375;2.44;8.55;8.2938099;63416;1791;82.7;87.27488917
